order_id,customer_id,product_id,order_date,quantity,unit_price,order_status,revenue
O00044,C341,P013,2026-07-14,1,4011.81,Completed,4011.81
O00045,C347,P031,2026-03-31,1,1648.21,Pending,1648.21
O00046,C316,P011,2026-06-04,1,918.48,Completed,918.48
O00047,C208,P039,2026-01-01,1,610.99,Pending,610.99
O00048,C156,P001,2026-05-27,1,4773.29,Completed,4773.29
O00049,C108,P037,2026-08-09,2,5429.68,Cancelled,10859.36
O00050,C297,P006,2026-06-14,1,6325.48,Completed,6325.48
O00051,C239,P036,2026-08-15,2,1134.61,Completed,2269.22
O00052,C227,P018,2026-04-20,1,2068.89,Pending,2068.89
O00053,C262,P010,2026-08-31,3,1739.65,Completed,5218.95
O00054,C377,P005,2026-03-28,1,2624.22,Completed,2624.22
O00055,C338,P030,2026-02-13,1,2586.92,Completed,2586.92
O00056,C146,P025,2026-09-21,2,1054.56,Completed,2109.12
O00057,C340,P015,2026-06-21,2,639.35,Completed,1278.7
O00058,C048,P028,2026-05-01,2,3265.62,Completed,6531.24
O00059,C345,P034,2026-06-08,4,5352.74,Completed,21410.96
O00060,C116,P014,2026-04-12,4,3682.56,Completed,14730.24
O00061,C076,P018,2026-01-13,1,2068.89,Completed,2068.89
O00062,C024,P011,2026-05-06,2,918.48,Completed,1836.96
O00063,C244,P025,2026-02-07,1,1054.56,Completed,1054.56
O00064,C234,P011,2026-08-01,1,918.48,Completed,918.48
O00065,C323,P038,2026-04-10,2,3361.83,Completed,6723.66
O00066,C368,P035,2026-07-16,2,6423.94,Completed,12847.88
O00067,C254,P035,2026-07-24,2,6423.94,Completed,12847.88
O00068,C125,P036,2026-03-17,1,1134.61,Cancelled,1134.61
O00069,C336,P013,2026-01-03,3,4011.81,Completed,12035.43
O00070,C385,P037,2026-02-24,3,5429.68,Completed,16289.04
O00071,C399,P037,2026-08-06,2,5429.68,Completed,10859.36
O00072,C113,P016,2026-04-01,1,1011.57,Completed,1011.57
O00073,C357,P021,2026-09-23,1,3572.03,Completed,3572.03
O00074,C238,P029,2026-01-26,1,1836.7,Cancelled,1836.7
O00075,C286,P002,2026-05-08,1,2814.37,Completed,2814.37
O00076,C063,P005,2026-08-22,1,2624.22,Completed,2624.22
O00077,C069,P014,2026-08-26,1,3682.56,Completed,3682.56
O00078,C342,P036,2026-09-29,1,1134.61,Completed,1134.61
O00079,C287,P021,2026-06-12,1,3572.03,Completed,3572.03
O00080,C387,P040,2026-08-15,1,933.0,Cancelled,933.0
O00081,C314,P010,2026-09-16,1,1739.65,Completed,1739.65
O00082,C219,P013,2026-08-17,2,4011.81,Completed,8023.62
O00083,C082,P015,2026-09-01,1,639.35,Completed,639.35
O00084,C231,P003,2026-05-13,1,1604.77,Completed,1604.77
O00085,C385,P010,2026-05-07,1,1739.65,Cancelled,1739.65
O00086,C327,P008,2026-05-22,1,1763.75,Completed,1763.75
O00087,C393,P016,2026-09-24,1,1011.57,Completed,1011.57
O00088,C249,P019,2026-05-03,3,849.29,Completed,2547.87
O00089,C141,P021,2026-08-14,1,3572.03,Pending,3572.03
O00090,C040,P039,2026-05-27,1,610.99,Completed,610.99
O00091,C121,P010,2026-05-20,1,1739.65,Completed,1739.65
O00092,C172,P014,2026-06-13,1,3682.56,Completed,3682.56
O00093,C277,P023,2026-02-11,1,3447.6,Completed,3447.6
O00094,C071,P024,2026-03-19,1,2792.31,Completed,2792.31
O00095,C119,P014,2026-07-16,4,3682.56,Completed,14730.24
O00096,C356,P019,2026-03-20,1,849.29,Completed,849.29
O00097,C362,P030,2026-04-20,1,2586.92,Completed,2586.92
O00098,C033,P011,2026-08-01,2,918.48,Completed,1836.96
O00099,C209,P016,2026-06-19,1,1011.57,Completed,1011.57
O00100,C278,P031,2026-08-27,1,1648.21,Completed,1648.21
O00101,C213,P023,2026-02-01,3,3447.6,Completed,10342.8
O00102,C106,P030,2026-08-04,2,2586.92,Cancelled,5173.84
O00103,C200,P016,2026-01-11,1,1011.57,Completed,1011.57
O00104,C392,P031,2026-07-14,1,1648.21,Cancelled,1648.21
O00105,C245,P011,2026-01-04,1,918.48,Completed,918.48
O00106,C181,P031,2026-06-02,1,1648.21,Completed,1648.21
O00107,C386,P004,2026-07-19,3,5723.82,Completed,17171.46
O00108,C215,P001,2026-04-23,2,4773.29,Completed,9546.58
O00109,C250,P011,2026-04-23,2,918.48,Completed,1836.96
O00110,C140,P032,2026-08-12,1,1798.36,Completed,1798.36
O00111,C249,P038,2026-01-15,1,3361.83,Completed,3361.83
O00112,C200,P025,2026-06-22,1,1054.56,Completed,1054.56
O00113,C343,P028,2026-07-27,1,3265.62,Completed,3265.62
O00114,C371,P027,2026-03-26,1,2263.36,Completed,2263.36
O00115,C240,P028,2026-03-07,1,3265.62,Completed,3265.62
O00116,C319,P017,2026-01-14,1,6203.54,Completed,6203.54
O00117,C202,P034,2026-01-14,2,5352.74,Completed,10705.48
O00118,C043,P009,2026-08-08,1,2813.88,Completed,2813.88
O00119,C070,P004,2026-08-25,1,5723.82,Completed,5723.82
O00120,C094,P005,2026-01-26,1,2624.22,Completed,2624.22
O00121,C134,P036,2026-07-14,3,1134.61,Completed,3403.83
O00122,C168,P037,2026-04-19,3,5429.68,Completed,16289.04
O00123,C233,P007,2026-06-17,2,1191.82,Cancelled,2383.64
O00124,C173,P014,2026-07-14,1,3682.56,Completed,3682.56
O00125,C143,P004,2026-08-04,1,5723.82,Completed,5723.82
O00126,C130,P031,2026-02-11,1,1648.21,Completed,1648.21
O00127,C241,P039,2026-01-10,1,610.99,Completed,610.99
O00128,C384,P022,2026-01-27,1,5974.06,Completed,5974.06
O00129,C180,P006,2026-04-25,2,6325.48,Pending,12650.96
O00130,C333,P003,2026-02-05,2,1604.77,Completed,3209.54
O00131,C400,P001,2026-01-21,1,4773.29,Completed,4773.29
O00132,C387,P001,2026-01-16,1,4773.29,Completed,4773.29
O00133,C127,P027,2026-04-13,1,2263.36,Completed,2263.36
O00134,C011,P019,2026-03-20,1,849.29,Completed,849.29
O00135,C123,P036,2026-03-06,2,1134.61,Completed,2269.22
O00136,C243,P012,2026-02-28,4,2085.26,Completed,8341.04
O00137,C289,P039,2026-04-22,1,610.99,Completed,610.99
O00138,C239,P036,2026-05-12,1,1134.61,Completed,1134.61
O00139,C393,P005,2026-07-08,1,2624.22,Completed,2624.22
O00140,C086,P039,2026-02-28,1,610.99,Cancelled,610.99
O00141,C399,P015,2026-03-25,3,639.35,Completed,1918.05
O00142,C160,P008,2026-02-25,1,1763.75,Completed,1763.75
O00143,C297,P001,2026-01-14,1,4773.29,Completed,4773.29
O00144,C160,P024,2026-07-12,4,2792.31,Completed,11169.24
O00145,C204,P011,2026-04-12,1,918.48,Completed,918.48
O00146,C039,P027,2026-05-05,1,2263.36,Pending,2263.36
O00147,C053,P020,2026-06-04,1,1820.46,Completed,1820.46
O00148,C351,P007,2026-03-03,2,1191.82,Cancelled,2383.64
O00149,C290,P002,2026-01-22,2,2814.37,Completed,5628.74
O00150,C178,P026,2026-09-30,3,1994.05,Completed,5982.15
O00151,C220,P036,2026-07-09,1,1134.61,Completed,1134.61
O00152,C036,P037,2026-09-17,2,5429.68,Pending,10859.36
O00153,C332,P024,2026-06-24,1,2792.31,Pending,2792.31
O00154,C007,P039,2026-08-04,1,610.99,Completed,610.99
O00155,C251,P027,2026-02-24,1,2263.36,Completed,2263.36
O00156,C222,P014,2026-07-05,1,3682.56,Completed,3682.56
O00157,C326,P013,2026-08-24,1,4011.81,Completed,4011.81
O00158,C363,P025,2026-03-20,2,1054.56,Completed,2109.12
O00159,C223,P011,2026-04-01,3,918.48,Completed,2755.44
O00160,C376,P038,2026-09-25,1,3361.83,Completed,3361.83
O00161,C334,P007,2026-05-19,1,1191.82,Completed,1191.82
O00162,C316,P040,2026-09-05,1,933.0,Completed,933.0
O00163,C239,P018,2026-08-12,1,2068.89,Completed,2068.89
O00164,C375,P018,2026-05-18,1,2068.89,Completed,2068.89
O00165,C166,P004,2026-05-06,1,5723.82,Completed,5723.82
O00166,C045,P001,2026-05-23,3,4773.29,Completed,14319.87
O00167,C231,P011,2026-05-05,3,918.48,Completed,2755.44
O00168,C385,P031,2026-08-26,1,1648.21,Completed,1648.21
O00169,C292,P021,2026-07-14,3,3572.03,Completed,10716.09
O00170,C173,P030,2026-01-15,2,2586.92,Completed,5173.84
O00171,C254,P020,2026-06-16,1,1820.46,Completed,1820.46
O00172,C094,P013,2026-09-07,3,4011.81,Completed,12035.43
O00173,C109,P010,2026-07-01,1,1739.65,Completed,1739.65
O00174,C133,P015,2026-06-24,1,639.35,Completed,639.35
O00175,C144,P004,2026-05-22,1,5723.82,Pending,5723.82
O00176,C285,P014,2026-01-06,2,3682.56,Completed,7365.12
O00177,C265,P016,2026-04-08,3,1011.57,Completed,3034.71
O00178,C044,P022,2026-05-04,2,5974.06,Completed,11948.12
O00179,C369,P011,2026-07-28,1,918.48,Completed,918.48
O00180,C251,P001,2026-05-04,2,4773.29,Completed,9546.58
O00181,C354,P014,2026-09-01,2,3682.56,Completed,7365.12
O00182,C331,P009,2026-09-09,1,2813.88,Cancelled,2813.88
O00183,C230,P013,2026-01-09,1,4011.81,Completed,4011.81
O00184,C048,P029,2026-05-31,1,1836.7,Completed,1836.7
O00185,C114,P018,2026-07-27,1,2068.89,Completed,2068.89
O00186,C355,P018,2026-05-05,1,2068.89,Completed,2068.89
O00187,C157,P024,2026-07-08,1,2792.31,Completed,2792.31
O00188,C243,P040,2026-09-29,2,933.0,Cancelled,1866.0
O00189,C177,P008,2026-08-06,2,1763.75,Completed,3527.5
O00190,C382,P038,2026-06-19,1,3361.83,Cancelled,3361.83
O00191,C181,P022,2026-08-21,2,5974.06,Completed,11948.12
O00192,C139,P015,2026-06-06,2,639.35,Completed,1278.7
O00193,C129,P018,2026-04-29,1,2068.89,Completed,2068.89
O00194,C062,P004,2026-04-09,1,5723.82,Completed,5723.82
O00195,C162,P005,2026-03-03,1,2624.22,Completed,2624.22
O00196,C381,P008,2026-04-05,1,1763.75,Completed,1763.75
O00197,C099,P033,2026-04-21,3,2896.4,Completed,8689.2
O00198,C379,P013,2026-09-05,1,4011.81,Completed,4011.81
O00199,C142,P024,2026-09-26,1,2792.31,Cancelled,2792.31
O00200,C306,P019,2026-05-25,1,849.29,Completed,849.29
O00201,C052,P035,2026-04-10,1,6423.94,Completed,6423.94
O00202,C152,P014,2026-04-27,1,3682.56,Completed,3682.56
O00203,C185,P001,2026-04-02,1,4773.29,Cancelled,4773.29
O00204,C155,P015,2026-01-08,1,639.35,Completed,639.35
O00205,C363,P030,2026-03-06,2,2586.92,Completed,5173.84
O00206,C141,P029,2026-01-24,1,1836.7,Completed,1836.7
O00207,C028,P035,2026-05-30,1,6423.94,Cancelled,6423.94
O00208,C358,P031,2026-03-06,2,1648.21,Completed,3296.42
O00209,C327,P011,2026-09-09,1,918.48,Cancelled,918.48
O00210,C053,P030,2026-01-07,1,2586.92,Completed,2586.92
O00211,C294,P005,2026-05-26,1,2624.22,Completed,2624.22
O00212,C241,P032,2026-09-03,2,1798.36,Pending,3596.72
O00213,C226,P037,2026-06-24,1,5429.68,Completed,5429.68
O00214,C095,P024,2026-01-27,1,2792.31,Completed,2792.31
O00215,C130,P007,2026-09-02,1,1191.82,Completed,1191.82
O00216,C059,P033,2026-02-03,2,2896.4,Completed,5792.8
O00217,C206,P015,2026-09-09,1,639.35,Completed,639.35
O00218,C038,P012,2026-01-28,2,2085.26,Completed,4170.52
O00219,C078,P032,2026-03-18,1,1798.36,Completed,1798.36
O00220,C289,P017,2026-06-05,1,6203.54,Completed,6203.54
O00221,C044,P027,2026-05-08,1,2263.36,Completed,2263.36
O00222,C061,P007,2026-08-02,1,1191.82,Completed,1191.82
O00223,C311,P015,2026-04-26,1,639.35,Completed,639.35
O00224,C398,P040,2026-09-25,4,933.0,Completed,3732.0
O00225,C195,P011,2026-08-19,4,918.48,Completed,3673.92
O00226,C227,P031,2026-06-02,1,1648.21,Completed,1648.21
O00227,C302,P028,2026-08-08,1,3265.62,Completed,3265.62
O00228,C157,P039,2026-01-31,1,610.99,Completed,610.99
O00229,C313,P012,2026-02-20,1,2085.26,Completed,2085.26
O00230,C391,P002,2026-04-17,2,2814.37,Cancelled,5628.74
O00231,C321,P032,2026-04-19,1,1798.36,Completed,1798.36
O00232,C136,P021,2026-02-11,1,3572.03,Completed,3572.03
O00233,C081,P030,2026-05-03,3,2586.92,Completed,7760.76
O00234,C089,P032,2026-02-08,1,1798.36,Completed,1798.36
O00235,C081,P006,2026-01-02,1,6325.48,Cancelled,6325.48
O00236,C210,P039,2026-08-19,1,610.99,Completed,610.99
O00237,C353,P037,2026-08-29,4,5429.68,Completed,21718.72
O00238,C150,P025,2026-01-17,2,1054.56,Completed,2109.12
O00239,C119,P011,2026-05-28,1,918.48,Completed,918.48
O00240,C362,P034,2026-05-25,3,5352.74,Pending,16058.22
O00241,C360,P020,2026-08-21,2,1820.46,Completed,3640.92
O00242,C037,P008,2026-04-30,1,1763.75,Completed,1763.75
O00243,C136,P007,2026-04-12,1,1191.82,Completed,1191.82
O00244,C218,P008,2026-02-28,1,1763.75,Completed,1763.75
O00245,C279,P007,2026-04-26,1,1191.82,Completed,1191.82
O00246,C332,P033,2026-03-18,1,2896.4,Completed,2896.4
O00247,C137,P029,2026-03-14,2,1836.7,Completed,3673.4
O00248,C037,P012,2026-01-31,3,2085.26,Completed,6255.78
O00249,C085,P022,2026-06-07,2,5974.06,Completed,11948.12
O00250,C305,P011,2026-05-28,1,918.48,Completed,918.48
O00251,C225,P023,2026-03-05,3,3447.6,Completed,10342.8
O00252,C240,P035,2026-06-05,1,6423.94,Completed,6423.94
O00253,C359,P021,2026-07-26,1,3572.03,Completed,3572.03
O00254,C140,P020,2026-09-14,1,1820.46,Cancelled,1820.46
O00255,C277,P019,2026-09-10,2,849.29,Completed,1698.58
O00256,C225,P017,2026-02-11,1,6203.54,Cancelled,6203.54
O00257,C307,P021,2026-01-21,1,3572.03,Completed,3572.03
O00258,C222,P013,2026-06-15,1,4011.81,Completed,4011.81
O00259,C310,P037,2026-05-09,1,5429.68,Cancelled,5429.68
O00260,C014,P031,2026-02-16,1,1648.21,Completed,1648.21
O00261,C118,P029,2026-01-11,2,1836.7,Cancelled,3673.4
O00262,C392,P031,2026-05-18,1,1648.21,Completed,1648.21
O00263,C296,P010,2026-01-21,1,1739.65,Completed,1739.65
O00264,C391,P005,2026-03-31,1,2624.22,Completed,2624.22
O00265,C241,P001,2026-09-23,2,4773.29,Completed,9546.58
O00266,C334,P038,2026-08-15,2,3361.83,Completed,6723.66
O00267,C143,P029,2026-04-03,1,1836.7,Cancelled,1836.7
O00268,C300,P017,2026-08-12,2,6203.54,Completed,12407.08
O00269,C326,P017,2026-09-09,1,6203.54,Completed,6203.54
O00270,C047,P007,2026-08-29,1,1191.82,Completed,1191.82
O00271,C179,P008,2026-07-29,1,1763.75,Completed,1763.75
O00272,C171,P037,2026-06-14,1,5429.68,Completed,5429.68
O00273,C344,P016,2026-02-23,3,1011.57,Completed,3034.71
O00274,C083,P038,2026-06-18,1,3361.83,Completed,3361.83
O00275,C211,P011,2026-09-11,2,918.48,Cancelled,1836.96
O00276,C148,P031,2026-07-25,1,1648.21,Completed,1648.21
O00277,C390,P027,2026-01-19,1,2263.36,Completed,2263.36
O00278,C233,P040,2026-02-15,2,933.0,Completed,1866.0
O00279,C162,P003,2026-05-10,2,1604.77,Completed,3209.54
O00280,C166,P002,2026-03-01,1,2814.37,Cancelled,2814.37
O00281,C396,P030,2026-07-26,1,2586.92,Completed,2586.92
O00282,C264,P032,2026-01-01,2,1798.36,Completed,3596.72
O00283,C337,P003,2026-08-25,3,1604.77,Pending,4814.31
O00284,C212,P013,2026-01-28,1,4011.81,Completed,4011.81
O00285,C097,P018,2026-09-23,1,2068.89,Completed,2068.89
O00286,C186,P026,2026-09-13,1,1994.05,Completed,1994.05
O00287,C321,P037,2026-08-15,2,5429.68,Completed,10859.36
O00288,C390,P004,2026-01-27,4,5723.82,Completed,22895.28
O00289,C105,P022,2026-05-17,4,5974.06,Completed,23896.24
O00290,C282,P009,2026-03-09,1,2813.88,Completed,2813.88
O00291,C148,P030,2026-08-13,1,2586.92,Completed,2586.92
O00292,C358,P027,2026-09-06,1,2263.36,Completed,2263.36
O00293,C063,P029,2026-01-15,1,1836.7,Completed,1836.7
O00294,C323,P014,2026-05-03,2,3682.56,Completed,7365.12
O00295,C364,P018,2026-03-23,1,2068.89,Completed,2068.89
O00296,C160,P011,2026-01-08,1,918.48,Completed,918.48
O00297,C283,P019,2026-07-28,1,849.29,Completed,849.29
O00298,C048,P026,2026-04-26,2,1994.05,Completed,3988.1
O00299,C059,P011,2026-08-25,3,918.48,Completed,2755.44
O00300,C061,P018,2026-03-20,2,2068.89,Completed,4137.78
O00301,C256,P019,2026-05-30,3,849.29,Completed,2547.87
O00302,C261,P008,2026-05-20,1,1763.75,Completed,1763.75
O00303,C213,P029,2026-09-05,2,1836.7,Completed,3673.4
O00304,C242,P039,2026-05-05,2,610.99,Completed,1221.98
O00305,C234,P037,2026-03-16,3,5429.68,Pending,16289.04
O00306,C197,P032,2026-04-08,2,1798.36,Completed,3596.72
O00307,C307,P023,2026-09-18,1,3447.6,Completed,3447.6
O00308,C383,P038,2026-03-11,1,3361.83,Completed,3361.83
O00309,C036,P005,2026-05-22,2,2624.22,Completed,5248.44
O00310,C396,P013,2026-08-01,1,4011.81,Completed,4011.81
O00311,C175,P007,2026-09-17,1,1191.82,Completed,1191.82
O00312,C137,P012,2026-01-02,1,2085.26,Completed,2085.26
O00313,C145,P024,2026-06-02,1,2792.31,Completed,2792.31
O00314,C301,P032,2026-09-08,1,1798.36,Completed,1798.36
O00315,C077,P009,2026-08-17,3,2813.88,Completed,8441.64
O00316,C276,P037,2026-09-05,2,5429.68,Completed,10859.36
O00317,C177,P014,2026-06-20,2,3682.56,Completed,7365.12
O00318,C283,P009,2026-07-13,2,2813.88,Completed,5627.76
O00319,C234,P035,2026-06-14,1,6423.94,Completed,6423.94
O00320,C097,P016,2026-05-03,1,1011.57,Completed,1011.57
O00321,C293,P012,2026-07-16,1,2085.26,Completed,2085.26
O00322,C120,P034,2026-07-30,1,5352.74,Completed,5352.74
O00323,C023,P004,2026-06-12,1,5723.82,Completed,5723.82
O00324,C382,P030,2026-08-31,1,2586.92,Completed,2586.92
O00325,C362,P013,2026-07-15,1,4011.81,Completed,4011.81
O00326,C198,P001,2026-03-19,2,4773.29,Completed,9546.58
O00327,C254,P014,2026-01-19,1,3682.56,Completed,3682.56
O00328,C065,P007,2026-09-15,1,1191.82,Completed,1191.82
O00329,C303,P014,2026-06-19,2,3682.56,Completed,7365.12
O00330,C052,P030,2026-08-14,1,2586.92,Completed,2586.92
O00331,C052,P003,2026-09-27,2,1604.77,Completed,3209.54
O00332,C234,P007,2026-01-08,2,1191.82,Completed,2383.64
O00333,C370,P005,2026-03-15,2,2624.22,Pending,5248.44
O00334,C210,P022,2026-03-21,3,5974.06,Completed,17922.18
O00335,C039,P027,2026-08-29,1,2263.36,Completed,2263.36
O00336,C136,P036,2026-06-23,1,1134.61,Completed,1134.61
O00337,C320,P001,2026-07-23,2,4773.29,Completed,9546.58
O00338,C333,P037,2026-02-11,2,5429.68,Completed,10859.36
O00339,C169,P029,2026-07-14,1,1836.7,Completed,1836.7
O00340,C163,P029,2026-09-07,1,1836.7,Completed,1836.7
O00341,C278,P035,2026-01-19,1,6423.94,Completed,6423.94
O00342,C317,P009,2026-02-05,2,2813.88,Completed,5627.76
O00343,C121,P003,2026-05-28,1,1604.77,Cancelled,1604.77
O00344,C117,P029,2026-02-16,1,1836.7,Completed,1836.7
O00345,C223,P025,2026-02-20,1,1054.56,Completed,1054.56
O00346,C390,P022,2026-02-21,1,5974.06,Completed,5974.06
O00347,C228,P002,2026-03-27,1,2814.37,Completed,2814.37
O00348,C356,P037,2026-06-03,2,5429.68,Completed,10859.36
O00349,C015,P017,2026-01-24,2,6203.54,Completed,12407.08
O00350,C167,P004,2026-01-29,1,5723.82,Completed,5723.82
O00351,C151,P024,2026-07-03,1,2792.31,Completed,2792.31
O00352,C192,P020,2026-08-09,2,1820.46,Completed,3640.92
O00353,C075,P008,2026-05-06,2,1763.75,Completed,3527.5
O00354,C272,P003,2026-07-30,1,1604.77,Completed,1604.77
O00355,C290,P012,2026-04-03,1,2085.26,Cancelled,2085.26
O00356,C088,P034,2026-03-31,1,5352.74,Pending,5352.74
O00357,C041,P013,2026-07-15,1,4011.81,Completed,4011.81
O00358,C318,P035,2026-05-04,1,6423.94,Completed,6423.94
O00359,C255,P036,2026-03-15,1,1134.61,Completed,1134.61
O00360,C119,P002,2026-08-25,2,2814.37,Completed,5628.74
O00361,C327,P023,2026-05-11,1,3447.6,Completed,3447.6
O00362,C236,P034,2026-05-11,3,5352.74,Completed,16058.22
O00363,C342,P013,2026-01-05,2,4011.81,Completed,8023.62
O00364,C239,P025,2026-05-28,3,1054.56,Completed,3163.68
O00365,C347,P011,2026-03-22,3,918.48,Completed,2755.44
O00366,C038,P009,2026-08-15,1,2813.88,Cancelled,2813.88
O00367,C177,P021,2026-06-03,2,3572.03,Completed,7144.06
O00368,C328,P016,2026-08-06,1,1011.57,Completed,1011.57
O00369,C354,P009,2026-05-09,1,2813.88,Completed,2813.88
O00370,C234,P004,2026-06-04,1,5723.82,Completed,5723.82
O00371,C102,P013,2026-07-16,1,4011.81,Cancelled,4011.81
O00372,C248,P018,2026-02-24,1,2068.89,Completed,2068.89
O00373,C122,P040,2026-07-15,1,933.0,Completed,933.0
O00374,C293,P009,2026-07-03,1,2813.88,Completed,2813.88
O00375,C295,P003,2026-06-01,4,1604.77,Completed,6419.08
O00376,C359,P024,2026-06-01,2,2792.31,Completed,5584.62
O00377,C012,P029,2026-07-22,1,1836.7,Completed,1836.7
O00378,C141,P022,2026-01-05,1,5974.06,Completed,5974.06
O00379,C290,P006,2026-01-26,1,6325.48,Completed,6325.48
O00380,C311,P027,2026-09-12,1,2263.36,Completed,2263.36
O00381,C147,P012,2026-04-28,1,2085.26,Completed,2085.26
O00382,C311,P027,2026-06-30,1,2263.36,Completed,2263.36
O00383,C113,P029,2026-04-08,3,1836.7,Completed,5510.1
O00384,C318,P026,2026-05-09,1,1994.05,Completed,1994.05
O00385,C348,P026,2026-03-12,3,1994.05,Completed,5982.15
O00386,C322,P027,2026-02-19,1,2263.36,Completed,2263.36
O00387,C322,P025,2026-01-21,1,1054.56,Completed,1054.56
O00388,C159,P005,2026-08-14,2,2624.22,Completed,5248.44
O00389,C018,P001,2026-07-06,1,4773.29,Completed,4773.29
O00390,C375,P012,2026-03-09,1,2085.26,Completed,2085.26
O00391,C047,P028,2026-06-01,1,3265.62,Cancelled,3265.62
O00392,C168,P036,2026-08-01,4,1134.61,Completed,4538.44
O00393,C090,P008,2026-04-13,1,1763.75,Completed,1763.75
O00394,C068,P009,2026-07-07,2,2813.88,Cancelled,5627.76
O00395,C272,P021,2026-09-14,3,3572.03,Cancelled,10716.09
O00396,C140,P021,2026-03-26,1,3572.03,Completed,3572.03
O00397,C132,P034,2026-09-04,3,5352.74,Cancelled,16058.22
O00398,C152,P039,2026-06-23,1,610.99,Completed,610.99
O00399,C059,P014,2026-08-28,4,3682.56,Completed,14730.24
O00400,C039,P019,2026-03-14,1,849.29,Completed,849.29
O00401,C387,P017,2026-04-26,1,6203.54,Cancelled,6203.54
O00402,C347,P015,2026-07-23,1,639.35,Completed,639.35
O00403,C286,P025,2026-07-07,1,1054.56,Completed,1054.56
O00404,C047,P013,2026-07-22,2,4011.81,Completed,8023.62
O00405,C008,P034,2026-05-16,2,5352.74,Completed,10705.48
O00406,C275,P008,2026-03-05,1,1763.75,Pending,1763.75
O00407,C233,P009,2026-07-08,1,2813.88,Completed,2813.88
O00408,C345,P029,2026-05-15,2,1836.7,Completed,3673.4
O00409,C300,P032,2026-07-15,1,1798.36,Completed,1798.36
O00410,C327,P004,2026-07-10,2,5723.82,Completed,11447.64
O00411,C056,P034,2026-04-30,1,5352.74,Completed,5352.74
O00412,C242,P011,2026-01-13,1,918.48,Pending,918.48
O00413,C318,P001,2026-06-17,1,4773.29,Completed,4773.29
O00414,C313,P009,2026-04-24,1,2813.88,Completed,2813.88
O00415,C332,P004,2026-02-02,1,5723.82,Cancelled,5723.82
O00416,C326,P029,2026-08-26,1,1836.7,Completed,1836.7
O00417,C359,P007,2026-06-04,1,1191.82,Completed,1191.82
O00418,C333,P008,2026-07-29,2,1763.75,Pending,3527.5
O00419,C060,P030,2026-03-13,1,2586.92,Completed,2586.92
O00420,C024,P018,2026-01-20,1,2068.89,Completed,2068.89
O00421,C156,P029,2026-09-10,1,1836.7,Completed,1836.7
O00422,C060,P025,2026-02-19,1,1054.56,Completed,1054.56
